UTC,shiyanhe_Q_in,baoshihu_Q_in,yingrenshi_Q_in,jiuwei_Q_in,shiyan_else_Q_in,tiegang_else_Q_in,jiuwei_liantongzha_Q,yingrenshi_xieshuizha_Q,yingrenshi_liantongzha_Q,jiuwei_xieshuizha_Q,tiegang_yihongdao_gate_Q,baoshihu_xieshuizha_Q,baoshihu_yihongdao_Q,shiyan_yihongdaozha_Q,shengyanshengtaiku_yan_Q,shiyan_shengtaiku_xieshuizha_Q,xixianghe_Q_max,maozhouhe_Q_max,shiyan_gongshui_Q_min,tiegang_gongshui_Q_min,shiyan_shengtaiku_V_min,shiyan_shengtaiku_V_max,baoshihu_shengtaiku_V_min,baoshihu_shengtaiku_V_max,yingrenshi_shengtaiku_V_min,yingrenshi_shengtaiku_V_max,jiuwei_shengtaiku_V_min,jiuwei_shengtaiku_V_max,shiyan_storage_V_min,shiyan_storage_V_max,tiegang_storage_V_min,tiegang_storage_V_max
2026-07-01 00:00:00,80,45,35,30,25,20,70,40,35,20,80,30,25,60,45,35,450,350,25,30,2500000,5200000,800000,2100000,900000,2200000,700000,1800000,1800000,6000000,1600000,5500000
2026-07-01 01:00:00,100,55,42,36,30,25,80,50,45,25,95,40,35,75,55,45,450,350,25,30,2500000,5200000,800000,2100000,900000,2200000,700000,1800000,1800000,6000000,1600000,5500000
2026-07-01 02:00:00,140,70,55,45,42,35,100,70,60,40,130,60,50,100,70,60,450,350,25,30,2500000,5200000,800000,2100000,900000,2200000,700000,1800000,1800000,6000000,1600000,5500000
2026-07-01 03:00:00,200,95,75,60,60,50,140,95,80,70,180,90,80,145,95,85,450,350,25,30,2500000,5200000,800000,2100000,900000,2200000,700000,1800000,1800000,6000000,1600000,5500000
2026-07-01 04:00:00,280,130,110,95,85,70,190,130,110,100,250,130,110,200,130,120,450,350,25,30,2500000,5200000,800000,2100000,900000,2200000,700000,1800000,1800000,6000000,1600000,5500000
2026-07-01 05:00:00,320,150,130,120,100,80,220,150,130,120,290,150,130,230,150,135,450,350,25,30,2500000,5200000,800000,2100000,900000,2200000,700000,1800000,1800000,6000000,1600000,5500000
2026-07-01 06:00:00,300,145,125,110,95,75,210,145,125,110,270,145,125,220,145,130,450,350,25,30,2500000,5200000,800000,2100000,900000,2200000,700000,1800000,1800000,6000000,1600000,5500000
2026-07-01 07:00:00,240,120,100,88,72,58,170,120,100,85,220,115,100,175,120,110,450,350,25,30,2500000,5200000,800000,2100000,900000,2200000,700000,1800000,1800000,6000000,1600000,5500000
2026-07-01 08:00:00,170,90,75,62,50,40,120,85,70,55,150,80,70,120,85,75,450,350,25,30,2500000,5200000,800000,2100000,900000,2200000,700000,1800000,1800000,6000000,1600000,5500000
2026-07-01 09:00:00,120,65,52,44,35,28,90,60,50,35,110,55,45,85,60,50,450,350,25,30,2500000,5200000,800000,2100000,900000,2200000,700000,1800000,1800000,6000000,1600000,5500000
