UTC,Q_in_a,Q_in_b,Q_supply_demand
2026-01-01 00:00:00,15.0,8.0,2.0
2026-01-01 03:00:00,20.0,8.0,2.0
2026-01-01 06:00:00,30.0,9.0,2.0
2026-01-01 09:00:00,45.0,10.0,2.5
2026-01-01 12:00:00,70.0,12.0,3.0
2026-01-01 15:00:00,95.0,14.0,3.0
2026-01-01 18:00:00,130.0,16.0,3.5
2026-01-01 21:00:00,170.0,19.0,4.0
2026-01-02 00:00:00,210.0,22.0,4.5
2026-01-02 03:00:00,230.0,26.0,4.5
2026-01-02 06:00:00,240.0,30.0,4.0
2026-01-02 09:00:00,220.0,32.0,3.5
2026-01-02 12:00:00,190.0,30.0,3.0
2026-01-02 15:00:00,160.0,28.0,3.0
2026-01-02 18:00:00,130.0,24.0,3.5
2026-01-02 21:00:00,110.0,20.0,4.0
2026-01-03 00:00:00,90.0,16.0,4.5
2026-01-03 03:00:00,75.0,14.0,5.0
2026-01-03 06:00:00,60.0,12.0,5.0
2026-01-03 09:00:00,50.0,11.0,4.5
2026-01-03 12:00:00,40.0,10.0,4.0
2026-01-03 15:00:00,32.0,9.0,3.5
2026-01-03 18:00:00,26.0,9.0,3.0
2026-01-03 21:00:00,22.0,8.0,2.5
2026-01-04 00:00:00,18.0,8.0,2.0
